yoruba,english
"Ní ìgbà 1920, àwọn ìwà àwọn ènìyàn àti orílẹ̀ èdè tó borí ní alòdì sí ogn àti ìdáwà.","During the 1920s, the prevailing attitudes of most citizens and nations was that of pacifism and isolation."
"Lẹ́yìn wíwo ìbẹ̀rù àti oríṣìí aburú tí ogun àgbáyé àkọ̀kọ́ fa, gbogbo àgbáyé ti ń gbìyànjú láti yẹra fún irú ìṣẹlẹ̀ aburu bẹ́ẹ̀ ni ọjọ́ iwáj.","After seeing the horrors and atrocities of war during World War I, nations desired to avoid such a situation again in the future."
"Tesla kó lọ sí ilẹ̀ America ní ọdún 1884, láti lọ gba iṣẹ́ pẹ̀lú ilé-iṣẹ́ Edison tó wà ní New York Cit.","In 1884, Tesla moved to the United States of America to accept a job with the Edison Company in New York City."
"O de si orile ede US, pelu senti 4, to je owo to ni laye lorun, pelu iwe ewi, pelu iwe akosile oniduro lati odo Charles Batchelor (oga re ni ise ti o se gbeyin) si Thomas Edison.","He arrived in the US with 4 cents to his name, a book of poetry, and a letter of recommendation from Charles Batchelor (his manager in his previous job) to Thomas Edison."
Ìlú China àdáyébá ní ọ̀nà ọ̀tọ̀ láti sàfihàn àwọn àkókò ìgbà; ọ̀kọ̀ọ̀kan ìlú China tàbí ìdílé tó wà ní ẹka agbára jẹ́ ìjọba tó dá yàtọ̀.,Ancient China had a unique way of showing different time periods; each stage of China or each family that was in power was a distinctive dynasty.
"Bákan náà, láàárin àkókò ilẹ̀ ọba kan, ọjọ́ orí tí kìí dúró llójú kan, tí ó pín ìgbèríko.Eyí tí a mọ̀ ju nínú irúfẹ́ àkokò yìí ni ìbẹ̀ẹ̀rẹ̀ ìjọba mẹ́ta tí ó wáyé fún ọgọ́ta ọdún láàárin ogún ọba Han àti Ji.",Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.
Lákòókò ìgbà ogun líle tó wáyé láàrin àwọn ọlọ́lá tó ń jà fún ipò.,During these periods fierce warfare took place between many nobles fighting for the throne.
"Ìjọba ilẹ̀ mẹ́ta jẹ́ ọ̀kan lára àwọn àkókò ẹlẹ́jẹ̀ nínú itàn àdáyébá ilẹ̀ China, ẹgbẹ̀lẹ́gbẹ̀ àwọn èèyàn ló kú nínú ìjà láti gba ìjókòó ààfin ńlá Xi’an.",The Three Kingdoms was one of the bloodiest eras in Ancient China’s history thousands of people died fighting to sit in the highest seat in the grand palace at Xi’an.
"Ọ̀pọ̀ àwọn àbájádẹ tí òsèlú ti àwújọ wa, bíi lílo ètò métíríkì, ìsípòpadà làti ìsẹ ìjọba ipá sí ìjọba àwa ara wa, jíjé ọmọ orílè-èdè àti ìgbàgbọ pé orílè-èdè jé ti tàwọn ènìyàn rẹ láìsẹ ti àdánìkànjọpọ́n aládarí kan ṣoṣo.","There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler."
Síwáájú si lẹ́yìn ìsọ̀tẹ̀ náà àyè láti sisé si´ sílè fún gbogbo àwọn òlùbèwò okùnrin èyí tó fi àyè gba àwọn to ní ìtalára àti pẹgẹdẹ́ jùlọ láti sẹ àsèyor.,Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.
"Bákan na ni fún àwọn ajagun nítorí pẹ kàkà kí wọn fi kíláàsi sẹ ìwọ̀n ipò ajagun, wọn fi agbára sẹ e.",Same goes for the military because instead of army rankings being based on class they were now based on cailaber.
Ogun àyípadà ìjọba ní ilẹ̀ Faransé ní ó jẹ́ kóríyá fáwọn òsìṣẹ́ ilẹ̀ míràn tí wọ́n ń fúngun mọ́ láti bẹ̀rẹ̀ àyípadà ti wọn.,The French Revolution also inspired many other repressed working class people of other country's to began their own revolutions.
Àwọn ohun tó kọjá ayé yìí jẹ Muhammad lógún. Ó má ń lọ síbi ihò kan tí ó di ohun tí wọ́n mọ̀ sí “iHira” lórí òkè “Noor” (ìmọ́lẹ̀) fún àsàrò.,Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation.
"ó dé ara rẹ̀ pamọ́, ó sì yè, èyí fún wa ní àwòrán ìfa ọkàn nípa ti ẹ̀mi Mohammad.","he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations."
"Ìsinmi lórí ọ̀kan lára àwọn òkè àríwá Mecca, ihò àpáta náà ni a yàsọ́tọ̀ sí ìyókù lágbàáyé.","Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world."
"Kódà kò rọrùn láti wárí rárá tí èyàn bá tiẹ̀ mọ̀ pé ó wà. Tóba ti wà ní òkúta àpámọ́, o ma dáwà pátá pátá.","In fact, it is not easy to find at all even if one knew it existed. Once inside the cave, it is a total isolation."
Kòsí ǹkan tí a lè rí ju ojú ọ̀run tó rẹwà tó sì mọ́lẹ̀ lókè àti ọ̀pọ̀lọpọ̀ àwọn orí òkè tó yiká. Díẹ̀ lára àgbáyé yìí ní a lè rí tàbí gba láti inú ihò.,"Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave."
Pírámìdì ńlá tó wà ní Giza ni ọ̀kan péré nínú àrà méje tó sì ń fẹsẹ̀ múnlẹ̀ lónìí.,The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.
"Awọn ara Íjíbì́tì ni wọ́n kọ́ ọ ni ṣẹ́ńtúri kẹta sáájú ìbí Jesu, ibi ìsìnkú pàtàkì yìí jẹ́ ọ̀kan lára ọ̀pọ̀lọpọ̀ ibi ìsìnkú tí wọ́n gbé kalẹ̀ láti yẹ́ òkú Pharaoh sí.","Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh."
"Giza Plateau àbí “Giza Necropolis” ní òkè Egypt àwọn tí ó ti kú ní àkópọ̀ onírúurú pírámíìdì (èyí tí ó jẹ́ pé pírámìdi ńlá ló tóbi jù) onírúurú ibojì kéékèké, tẹ́m̀pìlì lọ́pọ̀lọpọ̀ àti sphinx ńlá.","The Giza Plateau, or ""Giza Necropolis"" in the Egyptian Valley of the Dead contains several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx."
"Wọ́n se àgbékalẹ̀ pírámìdì ńlá láti dá Pharaoh Khufu lọ́lá àtàwọn pírámìdì kékéèké, ibòjì àtàwọn ilé tẹ́ḿpìlì ni wọ́n kọ́ láti dá àwọn ìyàwó àti mọ̀lẹ́bí Khufu lọ́wọ́.","The great pyramid was created to honor the Pharaoh Khufu, and many of the smaller pyramids, tombs, and temples were built to honor Khufu's wives and family members."
Àmì “up bow” jọ bí V nígbàtí àmì “down bow” dàbí staple ti kò ní ìdí.,"The ""up bow"" mark looks like a V and the ""down bow mark"" like a staple or a square missing its bottom side."
"Òkè túmọ̀ sí wípé kí o bẹ̀rẹ̀ ní etí góńgó kí o sì taari ọrún, àti pé ìsàlẹ̀ túmọ̀ sí pé kí o bẹ̀rẹ̀ nísàlẹ̀ (níbití ọwọ́ rẹ ti di ọrún mún.","Up means you should start at the tip and push the bow, and down means you should start at the frog (which is where your hand is holding the bow) and pull the bow."
"Orun-oke ma n saba dun kelekele, orun-isale ma n dun ni ohun lile to lase.","An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive."
"O ní àǹfànní láti fi gègé kọ àwọn àmì tìrẹ, sùgbọ́n rántí wípé ìlà àtẹ̀jáde tó wà níbẹ̀ wà fún iṣẹ́ orin, nítorínà wọ́n gbọ́dọ̀ jẹ́ bíbọ̀wọ̀ fún.","Feel free to pencil in your own marks, but remember the printed bowing marks are there for a musical reason, so they should usually be respected."
"Ọba búburú Louis XVI, Queen Marie Antoinette àwọn ọmọ wọn kékèké méjì ( Marie Therese, ọmọ ọdún mọ́kànlá àti Louis-Charles ọmọ ọdún mẹ́rin) àti àbúrò ọba obìnrin Madam Elizabeth, ní ọjọ́ kẹfà, oṣù kẹwa ọdún 1789, ni ọ̀gọọrọ̀ àwọn ìyá ọlọ́jà lé jáde pada sí Paris láti Versailles.","The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women."
"Nínu kẹ̀kẹ́ ẹṣin, wọ́n rìrìn àjò padà sí Paris àwọn ènìyàn sí yí wọn kà , wọ́n han, wọ́n sì ń pariwo ìdérùba Ọba àti Aya ọba.","In a carriage, they traveled back to Paris surrounded by a mob of people screaming and shouting threats against the King and Queen."
Àwọn èèyàn tínú ń bí tí kan ọba àti olorì nípá láti má a ṣí fèrèsé ohun èlò tó ń gbé wọn lọ sílẹ̀.,The mob of people forced the King And Queen to have their carriage windows wide open.
"Nígbà tóyá, ọ̀kan lára àwọn èrò ju orí olórí ẹ̀ṣọ́ tí wọ́n sekúpa ni Versaille síwájú ayaba tẹ́rù ti ń bà.",At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.
Ogun tí àwọn ikọ̀ ogun Amẹ́rikà jà fún àwọn are Filipini ní àwọn ara Filipi fúnra wọn san páta.,The war expenditures of U.S. imperialism in the conquest of the Philippines were paid for by the Filipino people themselves.
A ro won lati san owo ori fun ijoba amunisin ti U.S. lati se akojopo awon koko ninu eto isuna ati ere lori idokoowo eyi ti a se loruko ijoba Philippine lati ipase awon ile ifowopamo ni Wall Street.,They were compelled to pay taxes to the U.S. colonial regime to defray a major part of the expenditures and the interest on bonds floated in the name of the Philippine government through the Wall Street banking houses.
"Beeni, awon ere pupo ti a rigba lati ilokulo awon ara Filipini fun ojo pipe maa je ere ijoba ijegaba ilu Amerika.","Of course, the superprofits derived from the protracted exploitation of the Filipino people would constitute the basic gains of U.S. imperialism."
Láti lè jẹ́ kí Templers yé ọ o ní láti mọ ǹkan tó fa ìṣẹ́dá náà.,To understand the Templars one must understand the context that prompted the creation of the order.
"Akoko ti awon isele naa ti sele ni won maa n saba pe ni Akoko Aarin Giga, akoko ninu itan abalaye Yuropi ni senturi 11th, 12th ati 13th (AD 1000-1300).","The age where the events took place is commonly referred as the High Middle Ages the period of European history in the 11th, 12th, and 13th centuries (AD 1000–1300)."
"Akoko Aarin Nla lo gbeyin Ibere Akoko Aarin, lo tun saaju Ipari Akoko Aarin, ti o pari ni bi 1500 nilana itan igbalode.","The High Middle Ages were preceded by the Early Middle Ages and followed by the Late Middle Ages, which by convention ends around 1500."
"Ìpinnu tí ìmọ̀-ẹ̀rọ jé asayan ọ̀rọ̀ gbogbogbò fún orísirísi àwọn ìlóyẹ fún ìmúsisé to´ gbòòro, kíkànípá ìmò-ẹ̀rọ tábì pàtàkì ìmò-ẹ̀rọ sí ìwòyẹ tàràtà wípé àwọn àmúyẹ ìwòyẹ tó nísẹ pèlú àwọn òfin ìmọ̀ sayenisi àti ìfarahàn wọn nípa ìmò-ẹ̀rọ gẹ́gẹ́ bí atọ́kùn kádàrá éníyán.","Technological determinism is a term that encompasses a wide range of ideas in practice, from technology-push or the technological imperative to a strict sense that human destiny is driven by an underlying logic associated with scientific laws and their manifestation in technology."
"Ọ̀pọ̀lọpọ̀ àwọn ìtunmọ̀ ìpinu ìmọ̀ ẹ̀rọ pín àbá méjì, pé ìdágbàsóké ìms ẹ̀rọ fún rarẹ̀ fàyègba ọ̀nà tó jù àṣà àti òṣèlù lọ, ìms ẹ̀rọ nà ní “ipa” lóri àwùjọ tí a jogúnbá, jú àwùjọ ìlóniníyè lọ.","Most interpretations of technological determinism share two general ideas: that the development of technology itself follows a path largely beyond cultural or political influence, and that technology in turn has ""effects"" on societies that are inherent, rather than socially conditioned."
Fún àpęrę à lè sọ pé ọkọ ló ń sokùnfà àtúnse àwọn ojú ọ̀nà.,"For example, one might say that the motor car necessarily leads to the development of roads."
"Síbẹ̀síbẹ̀, ojú pópó jákèjádò orílẹ̀-èdè fún àwọn awakọ ayọ́kẹ́lẹ́ péréte kò le di síse pẹ̀lú bí ètò ọrọ̀ ajẹ́ sẹ rí, nítorínà àwọn ọ̀nà titun fùn ìselọ́pọ́ tó ń jẹyọ láti dín owó ríra ọkọ̀ kù.","However, a nationwide road network is not economically viable for just a handful of cars, so new methods of production are developed to reduce the cost of car ownership."
"Bi opo eyan se ni moto ma n mu ki ijamba oko oju ona po si, iyen naa ma n muu ki aseda awon ona titun ni iwosan ara eyan to ti kolu ijamba.","Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies."
"Romantisimi ma n sába dá àṣà láti àwọn akosile awọn akọ̀wé bío Gọẹ́tì, Fíṣtì àti Ṣlegel.","Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel."
"Ní ìlànà tí àkójọpọ̀ ẹgbẹ́ oníse, ẹ̀kọ́ nípa ìpìlẹ̀ ayé tún oníkálukú dá, bí ọjọ́ se ń gorí ọjọ́, ìṣe àti àṣà tí ó lọ́ mọ́ àgbéǹde ìpìlẹ̀ ayé, pẹ̀lú bí èyí se wà nísọ̀kan pẹ̀lú ipò àwùjọ èyí tó dára ju àwọn òfi àfipá gbé kalẹ̀.","In the context of Romanticism, the geography molded individuals, and over time customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws."
"Bí a ti ṣe mọ ìlú Paris gẹ́gẹ́ bí ìlú tó ma ń ṣàralóge ní àgbáyé, A mọ Constantinople gẹ́gẹ́ bí ìlú aṣaralógé tí feudal Europe.","In the manner that Paris is known as the fashion capital of the contemporary world, Constantinople was regarded as the fashion capital of feudal Europe."
Òkìkí rẹ̀ kàń̀ gẹ́gẹ́ bí nǹkan ìjayé tí ó bẹ̀rẹ̀ ni nǹkan bí 400 A.D. tí ó sì gbòde tihtí di nǹkan bí 1100 A.D.,Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.
Ipò rẹ̀ dïnkù ní senturi 16th pápá jùlo nítorí pé àwọn Kruseda ti padà pẹ̀lú ẹ̀bùn bíi aṣọ síkì èròjà oúnjẹ́ tí wọ́n níwọ̀n tó pọ̀ ju nkan tó wà ní ọjà Bisantaini.,Its status declined during the twelfth century mainly due to the fact that Crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.
Ní àsìkò yí ní gbígbé àkọlé tí olú ìlú oge láti Constantinople sí Paris di sísẹ.,It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.
Àrà ìkọ̀wé Gothic lé téńté ní àkókò séńtúrì kẹwàá sí ikọkànlá àti ikẹrìnlá.,Gothic style peaked in the period between the 10th - 11th centuries and the 14th century.
Ní ìbẹ̀rẹ̀ àṣà Bisantini ni apá ìlà orùn ni ipá púpọ̀ lórí aṣọ.,At the beginning dress was heavily influenced by the Byzantine culture in the east.
"Àmọ́ṣá, látàrí ìlànà ìbáraẹnisọ̀rọ̀ tó falẹ̀, àwọn àrà lẹ́kùn ìwọ̀ oòrùn le wà lẹ́yìn pẹ̀lú bí i ọdún márùndínlọ́gbọ̀n sí ọgbọ̀n ọdún.","However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year."
"ní ìparí Middle ages western Europe bẹ̀rẹ̀ láti ṣàgbéga àrà wọn, ìkan lára ìdàgbàsókè tó tóbi jùlọ látàrí crusades àwọn ènìyàn bẹ̀rẹ̀ sí ní lo àwọn bọ́tìnnì láti de aṣọ.",towards the end of the Middle Ages western Europe began to develop their own style. one of the biggest developments of the time as a result of the crusades people began to use buttons to fasten clothing.
Ètò ọ̀gbìn aládàáni jẹ́ ètò ọ́gbìn tí a má ń se láti pèsè oúnjẹ tí yíò fún àìní àgbẹ̀ àti àwọn ará ilé rẹ̀.,Subsistence agriculture is agriculture carried out for the production of enough food to meet just the needs of the agriculturalist and his/her family.
"Kò sí nǹkan tó lágbára nípa ètò ọ̀gbìn ohun jíjẹ, lọ́pọ̀ ìgbà ọ̀gáníìkì, ìlànà lílo irúgbìn nínú àkùrọ̀ kí a wá paápọ̀ mọ́ àwọn ìlànà tí kò ga ni lára púpọ̀, tí yóò sí mú èrè púpọ̀ w.","Subsistence agriculture is a simple, often organic, system using saved seed native to the ecoregion combined with crop rotation or other relatively simple techniques to maximize yield."
"Nínú ìtàn, àwọn àgbẹ̀ ma ń siṣẹ́ àgbẹ̀ alábọ́dé nìkan, èyí náà ni wọ́n sì ń lò láwọn orílẹ̀ tóti gbèrú kan.",Historically most farmers were engaged in subsistence agriculture and this is still the case in many developing nations.
Àṣà kekeke ma n so àwọn tó ní èrò bákanaa papọ̀ to n ṣe wọ́́n bii pé gbendeke awujo ti kọ̀ wọ́́n sílẹ̀ ó dẹ̀ ma n jẹ́kí wọ́́n ní idaraenimo.,Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity.
"Àwọn ẹka àṣà ní ìyàtọ̀ nípasè ọjọ́ orí,èyà, kílaàsì, agbègbẹ̀ àti/tàbí jíjẹ́ akọ tàbí ab.","Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members."
"Awon nkan to ma n mu ki asakekeke da yato ni ede, irisi, esin, oselu, ibalopo, agbegbe abi apapo gbogbo won.","The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors."
"Awon ara asa-kekere maa saba fihan pe won je omo elegbe nipase ilo ara ti o dayato ati ti o ni ami, die ninu apeere re je ara aso wiwo, isesi ati agooti.","Members of a subculture often signal their membership through a distinctive and symbolic use of style, which includes fashions, mannerisms, and argot."
"Ìkan lára awọn ìlànà tí a n lò láti fi júwe bí ìdarapọ̀ ṣe ṣe pàtàkì ni kí a fi àpẹrẹ àwọn ọmọ tí ò kópa nínú ìdarapọ̀ mó èyàn nígbàtí wọ́n dàgbà nítorí àidásí, oríburúkú àti iṣilò.","One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up."
Won ma n pe awon omo kan ni “odaju” tabi alaileko. Awon eyan (nigba pupo obi won ni) a ti de awon odaju omo; nigba miin won fi omo naa sile nitori pe obi o gba aarun agbari ati idagbasoke ti omo naa nii.,"Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents' rejection of a child's severe intellectual or physical impairment."
Awo omo to buru le ti ni iriri ijiya omode tabi isele buburu ki won to ja won sile tabi sisalo.,Feral children may have experienced severe child abuse or trauma before being abandoned or running away.
Wọ́n sọ pé ẹranko ni ó wo àwọn mìíràn dàgbà; àwọn kan gbé inú aginjù fúnra wọn.,Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.
"Nígbàtí ó bá jẹ́ ẹrànko tí kìí ṣe ènìyàn lo tọ́ ọ, ọmọ-Feral a máa hu irúfẹ́ àwọn ìwà kan (tí ó jẹ́ mọ ìrínisí)ó fẹ́rẹ̀ jẹ́ pé bí gbogbo ìwà tí àwọn ẹranko náà ń hu ló ń hù, bí í bíbèrù ènìyàn tàbí kí wọ́n má bìkítà ènìyà.","When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans."
"Niwọn bi eto ikẹkọ ti o dalẹ lori iṣẹ akanṣe ba mu ẹkọ rọrun ati ladun, atẹlẹsẹ mu u rọrun si.","While project based learning should make learning easier and more interesting, scaffolding goes a step beyond."
Ètò ní ṣíṣe n tẹ́lẹ̀ kì í se ọ̀na kíkọ́ ẹ̀kọ́ ṣùgbọ́n ìrànlọ́wọ́ tó ń pèsè àtilẹ́yìn fún olúkúlukú tó ń ní ìrírí ẹ̀kọ́ titunn bí èyí tó ń lo ètò titun lórí kọ̀m̀pútà tàbí bẹ̀rẹ̀ iṣẹ́ àkànṣe tiitun.,Scaffolding is not a method of learning but rather an aid that provides support to individuals whom are undergoing a new learning experience such as using a new computer program or beginning a new project.
"Scaffolds lè jẹ́ àfojúrí ó sì lè jẹ́ gidi, a lè sọ pé olùkọ lè jẹ́ scaffolds ṣùgbọ́n bẹ́ẹ̀ ni ọkùrin kékeré kílípù bébà nínu Microsoft Office.","Scaffolds can be both virtual and real, in other words, a teacher is a form of scaffold but so is the little paperclip man in Microsoft Office."
Ìlànà ìkọ́ni tó fún àwọn akẹ́ẹ̀kọ́ ní àǹfànní láti lóye kíkún tíwọ́n kó sínú ohun èlò ni láti fi bèèrè ìbéèrè àti ìsàlàyé àwọn ọ̀nà àátọ̀ tí ó lè jẹ́ ìpènijà fáwọn àkẹ́ẹ̀kọ́ láti dá ṣe.,"Virtual Scaffolds are internalized in the software and are meant to question, prompt, and explain procedures that may have been to challenging for the student to handle alone."
"Wọ́n fi àwọn ọmọdé sí ilé ìtọ́jú àwọn ọmọdé fún ọ̀pọ̀lọpọ̀ ìdí, bẹ̀ẹ̀rẹ̀ láti ìpatì, sí ìfìyàjẹni àti ìlọ́nilọ́wọ́gbà.","Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion."
"Kò yẹ kí ọmọ kankan dàgbà sí agbẹ̀gbẹ̀ tí kò ní rí ìtọ́jú, ìkẹ́, àti ẹ̀kọ gba sùgbọn o má n sẹlẹ̀.","No child should ever have to grow up in an environment that is not nurturing, caring, and educational, but they do."
A wòye Ilànà Ibùdó Itọ́jú là ń wòye pé ó jẹ́ ibi ààbò fáwọn ọmọ wọ̀nyìí.,We perceive the Foster Care System to be a safety zone for these children.
"Ó yẹ kí ìlànà ètò ìgbanitọ́ pèsè ilé tó ní ààbò, àwọn olùtọ́jú tí ó nífẹ̀ẹ́, ètò ẹ̀kọ́ tó dúró re àti ètò ìtọ́jú tó se é gbáralé.","Our foster care system is supposed to provide safe homes, loving caregivers, stable education, and reliable health care."
O ye ki mojuto omolomo pese gbogbo ohun elo pataki ti o to ni ile ti won yo won tele.,Foster care is supposed to provide all the necessities that were lacking in the home they were previously taken from.
Ìtàkùn ayélujára ṣe àgbájọ ìbáraẹ́nisọ̀rọ̀ gbogbogbò àti ọlọ́danni.,The Internet combines elements of both mass and interpersonal communication.
"Ìṣesí arà ọ̀tọ̀ tí ayélujára ni ó fa ọ̀nà àrà ọ̀tọ̀,ní ti ìlò rẹ̀ àti ọ̀nà ìtẹ́nilọ́rùn.",The distinct characteristics of the Internet lead to additional dimensions in terms of the uses and gratifications approach.
"Fún àpẹrẹ, “Kíkọ́ ẹ́kọ́” àti “jíjáde” ní a mọ̀ sí ìwúrí tó ṣe pàtàki fún ìlò íńtánẹ́ẹ̀tì (James et al., 1995.","For example, “learning” and “socialization” are suggested as important motivations for Internet use (James et al., 1995)."
“Ìlọ́wọ́sí ara ẹni “ àti “ìbásepọ̀ tó tèsíwajú” wà lára ìdanimọ̀ fún àwọn abala ìwúrí titun nípasẹ̀ Eighmey ati McCord (1998) nígbà tí wón ṣe ìwádìí ìhà ohun olumulo ojú opòpó wẹ́ẹ̀bù.,“Personal involvement” and “continuing relationships” were also identified as new motivation aspects by Eighmey and McCord (1998) when they investigated audience reactions to websites.
"Ìlò gbìgba fídíò sílẹ̀ tí gbé dé àwọn àwárí tó ṣe pàtàkì nínu ìsọ̀tumọ̀ micros expression, yíyí ojú, èyí tí kò pẹ́.","The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds."
Ní pàtó a lè se àwárí̀ bóyá ènìyàn ń parọ́ nípa títú àmì ara tó keré jùlọ.,"In particular, it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly."
"Ninu iew re Oro Aare, Olifa Saksi toka si bi awon eya ti o le gbo oro nitori ijamba opolo le sagbeyewo ododo mo dara dara. .","Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately."
Ó tilẹ̀ tún fi kún un pé òye láti túmọ̀ ìwà ọmọ ènìyàn ni àwọn ẹranko bí ajá ilé náà le ní.,He even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.
Iwadi ní senturi 20th ti fi hàn wípé a lẹ̀ dá iyato jenetiki sí odò mẹ́jì: eyi to pamọ́ àti eyi tó han.,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.
"Àṣìṣe tí o wáyé ṣe àfikún àti ìyípadà sí ìmọ̀ orírùn, nígbàtí ìyàsọ́tọ̀ sì yọ ọ́ kúrò nínú agbami ìyípadà.","Mutation adds new genetic variation, and selection removes it from the pool of expressed variation."
Ìpínyà àti àtúnlò ìyàtò síwájú àti sẹ́yìn láàrin igun méjèèjì pẹ̀lú ìran kọ̀ọ̀kan.,Segregation and recombination shuffle variation back and forth between the two pools with each generation.
"Ní gbangba sàfánà, ó ṣòro fún pírámètì tí ęya ara oúnjẹ́ jíję rẹ̀ jọ ti èyàn, láti rí ásìdì amino tí ara rẹ̀ ní lò láti ara ewé.","Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources."
"Sibe si, ti o ba ko lati se, o leyin: idiwo idagbasoke, ailounje, ati iku bopeboya.","Moreover, failure to do so has serious consequences: growth depression, malnutrition, and ultimately death."
"Ohun inu ẹwẹ́ tó máà wà nílè jú Iọ je àwọn oúnje ìdàgbàsókè tinú ẹwẹ́ àti ti ìrísí èwà, sùgbọn kọ rọgbọ fún àwọn prímẹ́ẹ̀tì bìí tàwa láti gba sára àfi tí a ba se e.","The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked."
"Níyàtọ̀ ó rọgbọ láti gba ẹran (èrà, tambolo ati ẹ̀yin sára, wọ́n tún ma n pèsè ounje idagbasoke púpọ̀ tó ní àwọn asidi amino pàtàkì.","In contrast, animal foods (ants, termites, eggs) not only are easily digestible, but they provide high-quantity proteins that contain all the essential amino acids."
"Láì fi nkankan sílẹ̀, kò yẹ kó jẹ́ ìyàlénu tí àwọn babanla wa wá èsì fún “ìṣòro ounje ìdàgbàsókè” lọ́nà tó fẹ́ jọ bíi ti àwọn ọ̀bọ sàfánà ṣe n ṣe tiwọn.","All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today."
Dídá orun mọ́yàn lójú ní ètò títají nígbàtí o bá ń sun orun tàbí nígbàtí o bá ń tòǹgbé tóbáyá (ìṣẹ́jú mẹwàá sí ọgọ́ta.,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).
Eleyi le seese ni bonkele nipa lilo aago itaniji ti ko pariwo lati muni ni ooye ohun ti o n sele laiji patapata.,This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.
"Tí o bá rí ara rẹ pé ò ń yí ọwọ́ ago padà ní ojú àlá rẹ, o le è gbé sí òdi kejì yàrá ní ibi tí ọwọ́ rẹ̀ kò tí ni to o láti pa á.","If you find yourself resetting the clock in your sleep, it can be placed on the other side of the room, forcing you to get out of bed to turn it off."
"Àwọn àṣàyàn mín tó dá lóri bayoritimi ma n nílo mimu nkan olomi (pápá jùlọ omi àbi tí tí a n pè ní diuretiki) ki o tó sùn, o ma n mú kí èyàn maa jítọ̀ dandandan.","Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate."
Iye àláfíà àtinúwá tí ẹnìkan ní jẹ́ ìdàkejì si iye ẹ̀dọ̀fún tó wà nínu rẹ.,The amount of inner peace a person possesses correlates oppositely to the amount of tension in one’s body and spirit.
"Bí ẹ̀dọ̀fun ṣe lọlẹ̀ tó, ni bí rere ayé ṣe ṣe ara rẹ̀. Gbogbo ènìyàn ní agbára láti ní aláfíà àti ìtẹ́lọ́rùn.","The lower the tension, the more positive the life force present. Every person has the potential to find absolute peace and contentment."
